"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.06.2023","1,2704","1,2619","1,2729","1,2599","","0,73%"
"29.06.2023","1,2612","1,2635","1,2668","1,2591","","-0,22%"
"28.06.2023","1,2640","1,2753","1,2754","1,2607","","-0,83%"
"27.06.2023","1,2746","1,2716","1,2761","1,2702","","0,27%"
"26.06.2023","1,2712","1,2712","1,2750","1,2687","","0,01%"
"23.06.2023","1,2711","1,2743","1,2756","1,2685","","-0,27%"
"22.06.2023","1,2746","1,2771","1,2840","1,2725","","-0,18%"
"21.06.2023","1,2769","1,2764","1,2803","1,2691","","0,06%"
"20.06.2023","1,2761","1,2792","1,2807","1,2714","","-0,23%"
"19.06.2023","1,2790","1,2819","1,2838","1,2769","","-0,21%"
"16.06.2023","1,2817","1,2781","1,2850","1,2767","","0,28%"
"15.06.2023","1,2781","1,2666","1,2786","1,2629","","0,95%"
"14.06.2023","1,2661","1,2612","1,2700","1,2601","","0,39%"
"13.06.2023","1,2612","1,2505","1,2626","1,2500","","0,81%"
"12.06.2023","1,2511","1,2572","1,2601","1,2487","","-0,46%"
"09.06.2023","1,2569","1,2558","1,2592","1,2534","","0,13%"
"08.06.2023","1,2553","1,2437","1,2563","1,2433","","0,96%"
"07.06.2023","1,2434","1,2427","1,2501","1,2395","","0,08%"
"06.06.2023","1,2424","1,2431","1,2460","1,2391","","-0,10%"
"05.06.2023","1,2437","1,2458","1,2458","1,2368","","-0,09%"
"02.06.2023","1,2448","1,2527","1,2546","1,2441","","-0,61%"
"01.06.2023","1,2525","1,2440","1,2540","1,2401","","0,71%"
"31.05.2023","1,2437","1,2415","1,2445","1,2347","","0,19%"
"30.05.2023","1,2413","1,2354","1,2447","1,2327","","0,50%"
"29.05.2023","1,2351","1,2344","1,2373","1,2335","","0,06%"
"26.05.2023","1,2343","1,2325","1,2397","1,2311","","0,18%"
"25.05.2023","1,2321","1,2364","1,2388","1,2308","","-0,35%"
"24.05.2023","1,2364","1,2415","1,2471","1,2357","","-0,37%"
"23.05.2023","1,2410","1,2440","1,2447","1,2373","","-0,22%"
"22.05.2023","1,2437","1,2449","1,2474","1,2414","","-0,06%"
"19.05.2023","1,2444","1,2409","1,2485","1,2392","","0,29%"
"18.05.2023","1,2408","1,2489","1,2494","1,2391","","-0,62%"
"17.05.2023","1,2486","1,2489","1,2512","1,2421","","0,01%"
"16.05.2023","1,2485","1,2523","1,2548","1,2465","","-0,34%"
"15.05.2023","1,2527","1,2456","1,2536","1,2443","","0,56%"
"12.05.2023","1,2457","1,2514","1,2542","1,2444","","-0,42%"
"11.05.2023","1,2509","1,2625","1,2641","1,2496","","-0,91%"
"10.05.2023","1,2624","1,2621","1,2681","1,2601","","0,04%"
"09.05.2023","1,2619","1,2618","1,2641","1,2578","","0,02%"
"08.05.2023","1,2617","1,2641","1,2670","1,2613","","-0,19%"
"05.05.2023","1,2641","1,2571","1,2654","1,2559","","0,55%"
"04.05.2023","1,2572","1,2556","1,2600","1,2548","","0,06%"
"03.05.2023","1,2564","1,2463","1,2591","1,2463","","0,80%"
"02.05.2023","1,2464","1,2497","1,2514","1,2435","","-0,26%"
"01.05.2023","1,2496","1,2567","1,2572","1,2479","","-0,60%"
"28.04.2023","1,2572","1,2498","1,2585","1,2445","","0,68%"
"27.04.2023","1,2487","1,2466","1,2501","1,2436","","0,16%"
"26.04.2023","1,2467","1,2408","1,2517","1,2402","","0,48%"
"25.04.2023","1,2408","1,2480","1,2508","1,2386","","-0,59%"
"24.04.2023","1,2482","1,2439","1,2487","1,2410","","0,42%"
"21.04.2023","1,2430","1,2435","1,2449","1,2367","","-0,10%"
"20.04.2023","1,2443","1,2443","1,2469","1,2405","","0,04%"
"19.04.2023","1,2438","1,2428","1,2476","1,2392","","0,11%"
"18.04.2023","1,2424","1,2373","1,2451","1,2368","","0,40%"
"17.04.2023","1,2374","1,2414","1,2439","1,2353","","-0,31%"
"14.04.2023","1,2413","1,2525","1,2548","1,2399","","-0,85%"
"13.04.2023","1,2520","1,2485","1,2539","1,2478","","0,31%"
"12.04.2023","1,2481","1,2426","1,2496","1,2398","","0,46%"
"11.04.2023","1,2424","1,2382","1,2458","1,2379","","0,35%"
"10.04.2023","1,2381","1,2423","1,2444","1,2344","","-0,26%"
"07.04.2023","1,2413","1,2441","1,2457","1,2390","","-0,21%"
"06.04.2023","1,2439","1,2462","1,2490","1,2412","","-0,14%"
"05.04.2023","1,2457","1,2502","1,2516","1,2433","","-0,34%"
"04.04.2023","1,2499","1,2415","1,2527","1,2395","","0,71%"
"03.04.2023","1,2411","1,2330","1,2424","1,2274","","0,63%"
"31.03.2023","1,2333","1,2385","1,2424","1,2325","","-0,40%"
"30.03.2023","1,2383","1,2313","1,2394","1,2293","","0,58%"
"29.03.2023","1,2311","1,2343","1,2363","1,2302","","-0,24%"
"28.03.2023","1,2340","1,2284","1,2351","1,2281","","0,46%"
"27.03.2023","1,2284","1,2230","1,2295","1,2218","","0,44%"
"24.03.2023","1,2230","1,2290","1,2294","1,2190","","-0,45%"
"23.03.2023","1,2285","1,2268","1,2344","1,2261","","0,17%"
"22.03.2023","1,2264","1,2215","1,2336","1,2208","","0,41%"
"21.03.2023","1,2214","1,2278","1,2285","1,2178","","-0,51%"
"20.03.2023","1,2276","1,2208","1,2286","1,2167","","0,83%"
"17.03.2023","1,2175","1,2110","1,2202","1,2099","","0,56%"
"16.03.2023","1,2107","1,2068","1,2130","1,2027","","0,35%"
"15.03.2023","1,2065","1,2160","1,2182","1,2010","","-0,76%"
"14.03.2023","1,2158","1,2184","1,2205","1,2135","","-0,19%"
"13.03.2023","1,2181","1,2039","1,2201","1,2039","","1,27%"
"10.03.2023","1,2028","1,1926","1,2115","1,1908","","0,86%"
"09.03.2023","1,1925","1,1845","1,1940","1,1831","","0,70%"
"08.03.2023","1,1842","1,1837","1,1860","1,1804","","0,13%"
"07.03.2023","1,1827","1,2024","1,2067","1,1821","","-1,61%"
"06.03.2023","1,2021","1,2037","1,2050","1,1993","","-0,16%"
"03.03.2023","1,2040","1,1943","1,2050","1,1939","","0,83%"
"02.03.2023","1,1941","1,2031","1,2037","1,1924","","-0,75%"
"01.03.2023","1,2031","1,2022","1,2090","1,1965","","0,09%"
"28.02.2023","1,2020","1,2065","1,2144","1,2018","","-0,35%"
"27.02.2023","1,2062","1,1957","1,2067","1,1922","","0,99%"
"24.02.2023","1,1944","1,2012","1,2043","1,1928","","-0,57%"
"23.02.2023","1,2013","1,2055","1,2076","1,1992","","-0,26%"
"22.02.2023","1,2044","1,2115","1,2136","1,2035","","-0,59%"
"21.02.2023","1,2115","1,2040","1,2149","1,1986","","0,64%"
"20.02.2023","1,2038","1,2051","1,2058","1,2014","","0,02%"
"17.02.2023","1,2035","1,1998","1,2053","1,1915","","0,35%"
"16.02.2023","1,1993","1,2028","1,2075","1,1965","","-0,27%"
"15.02.2023","1,2026","1,2172","1,2182","1,1990","","-1,18%"
"14.02.2023","1,2170","1,2137","1,2270","1,2117","","0,29%"
"13.02.2023","1,2135","1,2071","1,2153","1,2030","","0,64%"
"10.02.2023","1,2058","1,2124","1,2140","1,2047","","-0,53%"
"09.02.2023","1,2122","1,2072","1,2195","1,2056","","0,42%"
"08.02.2023","1,2071","1,2046","1,2111","1,2036","","0,24%"
"07.02.2023","1,2042","1,2024","1,2096","1,1960","","0,22%"
"06.02.2023","1,2016","1,2042","1,2079","1,2004","","-0,29%"
"03.02.2023","1,2051","1,2225","1,2267","1,2047","","-1,41%"
"02.02.2023","1,2223","1,2378","1,2401","1,2221","","-1,24%"
"01.02.2023","1,2376","1,2319","1,2396","1,2272","","0,45%"
"31.01.2023","1,2320","1,2351","1,2372","1,2283","","-0,26%"
"30.01.2023","1,2352","1,2399","1,2419","1,2337","","-0,36%"
"27.01.2023","1,2397","1,2407","1,2420","1,2344","","-0,07%"
"26.01.2023","1,2406","1,2401","1,2432","1,2344","","0,05%"
"25.01.2023","1,2400","1,2334","1,2405","1,2282","","0,58%"
"24.01.2023","1,2328","1,2378","1,2415","1,2262","","-0,36%"
"23.01.2023","1,2373","1,2403","1,2450","1,2323","","-0,16%"
"20.01.2023","1,2393","1,2391","1,2406","1,2334","","0,03%"
"19.01.2023","1,2389","1,2351","1,2399","1,2312","","0,35%"
"18.01.2023","1,2346","1,2290","1,2437","1,2254","","0,47%"
"17.01.2023","1,2288","1,2201","1,2302","1,2169","","0,80%"
"16.01.2023","1,2191","1,2216","1,2291","1,2171","","-0,29%"
"13.01.2023","1,2226","1,2210","1,2250","1,2149","","0,21%"
"12.01.2023","1,2200","1,2146","1,2249","1,2087","","0,48%"
"11.01.2023","1,2142","1,2155","1,2180","1,2099","","-0,11%"
"10.01.2023","1,2155","1,2190","1,2199","1,2109","","-0,23%"
"09.01.2023","1,2183","1,2094","1,2212","1,2087","","0,75%"
"06.01.2023","1,2092","1,1914","1,2101","1,1840","","1,56%"
"05.01.2023","1,1906","1,2053","1,2079","1,1873","","-1,22%"
"04.01.2023","1,2053","1,1968","1,2089","1,1954","","0,73%"
"03.01.2023","1,1966","1,2046","1,2087","1,1900","","-0,66%"
"02.01.2023","1,2045","1,2098","1,2100","1,2034","","-0,43%"
"30.12.2022","1,2097","1,2064","1,2109","1,2010","","0,37%"
"29.12.2022","1,2052","1,2016","1,2080","1,2013","","0,32%"
"28.12.2022","1,2013","1,2027","1,2127","1,2001","","-0,07%"
"27.12.2022","1,2021","1,2063","1,2114","1,2001","","-0,32%"
"26.12.2022","1,2060","1,2044","1,2083","1,2044","","0,02%"
"23.12.2022","1,2058","1,2044","1,2092","1,2018","","0,12%"
"22.12.2022","1,2043","1,2078","1,2149","1,1992","","-0,33%"
"21.12.2022","1,2083","1,2182","1,2194","1,2054","","-0,80%"
"20.12.2022","1,2181","1,2156","1,2224","1,2085","","0,29%"
"19.12.2022","1,2146","1,2150","1,2243","1,2119","","0,05%"
"16.12.2022","1,2140","1,2178","1,2225","1,2119","","-0,30%"
"15.12.2022","1,2176","1,2426","1,2433","1,2155","","-1,97%"
"14.12.2022","1,2421","1,2359","1,2448","1,2341","","0,54%"
"13.12.2022","1,2354","1,2274","1,2445","1,2247","","0,68%"
"12.12.2022","1,2270","1,2249","1,2300","1,2210","","0,12%"
"09.12.2022","1,2255","1,2235","1,2324","1,2206","","0,18%"
"08.12.2022","1,2233","1,2202","1,2249","1,2154","","0,28%"
"07.12.2022","1,2199","1,2136","1,2236","1,2105","","0,51%"
"06.12.2022","1,2137","1,2185","1,2270","1,2127","","-0,42%"
"05.12.2022","1,2188","1,2267","1,2346","1,2161","","-0,81%"
"02.12.2022","1,2287","1,2254","1,2301","1,2135","","0,28%"
"01.12.2022","1,2253","1,2056","1,2312","1,2053","","1,63%"
"30.11.2022","1,2056","1,1951","1,2089","1,1899","","0,86%"
"29.11.2022","1,1953","1,1954","1,2066","1,1944","","-0,04%"
"28.11.2022","1,1958","1,2078","1,2119","1,1939","","-1,12%"
"25.11.2022","1,2093","1,2112","1,2129","1,2057","","-0,14%"
"24.11.2022","1,2110","1,2054","1,2155","1,2047","","0,48%"
"23.11.2022","1,2052","1,1886","1,2082","1,1871","","1,42%"
"22.11.2022","1,1883","1,1825","1,1904","1,1817","","0,52%"
"21.11.2022","1,1821","1,1890","1,1903","1,1778","","-0,53%"
"18.11.2022","1,1884","1,1864","1,1952","1,1856","","0,19%"
"17.11.2022","1,1862","1,1915","1,1959","1,1762","","-0,39%"
"16.11.2022","1,1908","1,1866","1,1944","1,1831","","0,42%"
"15.11.2022","1,1858","1,1751","1,2027","1,1740","","0,90%"
"14.11.2022","1,1752","1,1805","1,1830","1,1709","","-0,70%"
"11.11.2022","1,1835","1,1716","1,1856","1,1647","","1,04%"
"10.11.2022","1,1713","1,1358","1,1733","1,1351","","3,14%"
"09.11.2022","1,1356","1,1543","1,1568","1,1333","","-1,56%"
"08.11.2022","1,1536","1,1513","1,1601","1,1429","","0,22%"
"07.11.2022","1,1511","1,1304","1,1543","1,1290","","1,20%"
"04.11.2022","1,1375","1,1166","1,1383","1,1147","","1,88%"
"03.11.2022","1,1165","1,1396","1,1423","1,1151","","-1,97%"
"02.11.2022","1,1389","1,1486","1,1566","1,1387","","-0,82%"
"01.11.2022","1,1483","1,1471","1,1568","1,1436","","0,12%"
"31.10.2022","1,1469","1,1609","1,1615","1,1458","","-1,21%"
"28.10.2022","1,1610","1,1563","1,1625","1,1503","","0,40%"
"27.10.2022","1,1564","1,1618","1,1647","1,1549","","-0,54%"
"26.10.2022","1,1627","1,1476","1,1640","1,1430","","1,40%"
"25.10.2022","1,1467","1,1281","1,1500","1,1270","","1,70%"
"24.10.2022","1,1275","1,1358","1,1410","1,1257","","-0,24%"
"21.10.2022","1,1302","1,1244","1,1317","1,1060","","0,61%"
"20.10.2022","1,1233","1,1223","1,1337","1,1170","","0,17%"
"19.10.2022","1,1214","1,1320","1,1359","1,1184","","-0,92%"
"18.10.2022","1,1318","1,1355","1,1412","1,1254","","-0,31%"
"17.10.2022","1,1353","1,1177","1,1441","1,1177","","1,64%"
"14.10.2022","1,1170","1,1330","1,1367","1,1151","","-1,40%"
"13.10.2022","1,1329","1,1106","1,1382","1,1056","","2,04%"
"12.10.2022","1,1103","1,0968","1,1134","1,0924","","1,28%"
"11.10.2022","1,0963","1,1058","1,1182","1,0952","","-0,83%"
"10.10.2022","1,1055","1,1084","1,1113","1,1019","","-0,26%"
"07.10.2022","1,1084","1,1163","1,1227","1,1054","","-0,66%"
"06.10.2022","1,1158","1,1328","1,1385","1,1115","","-1,48%"
"05.10.2022","1,1326","1,1476","1,1496","1,1226","","-1,28%"
"04.10.2022","1,1473","1,1325","1,1490","1,1280","","1,33%"
"03.10.2022","1,1322","1,1161","1,1336","1,1085","","1,45%"
"30.09.2022","1,1160","1,1115","1,1236","1,1023","","0,40%"
"29.09.2022","1,1115","1,0886","1,1121","1,0761","","2,08%"
"28.09.2022","1,0888","1,0732","1,0917","1,0539","","1,46%"
"27.09.2022","1,0731","1,0690","1,0840","1,0653","","0,44%"
"26.09.2022","1,0684","1,0858","1,0932","1,0384","","-1,58%"
"23.09.2022","1,0856","1,1256","1,1275","1,0838","","-3,56%"
"22.09.2022","1,1257","1,1269","1,1367","1,1212","","-0,08%"
"21.09.2022","1,1266","1,1376","1,1387","1,1237","","-0,99%"
"20.09.2022","1,1379","1,1433","1,1462","1,1356","","-0,44%"
"19.09.2022","1,1429","1,1417","1,1444","1,1354","","0,15%"
"16.09.2022","1,1412","1,1467","1,1482","1,1349","","-0,44%"
"15.09.2022","1,1463","1,1545","1,1551","1,1461","","-0,62%"
"14.09.2022","1,1535","1,1493","1,1591","1,1479","","0,38%"
"13.09.2022","1,1491","1,1692","1,1740","1,1491","","-1,61%"
"12.09.2022","1,1679","1,1597","1,1712","1,1595","","0,79%"
"09.09.2022","1,1587","1,1504","1,1649","1,1496","","0,76%"
"08.09.2022","1,1500","1,1528","1,1563","1,1460","","-0,22%"
"07.09.2022","1,1525","1,1521","1,1541","1,1405","","0,08%"
"06.09.2022","1,1516","1,1517","1,1611","1,1492","","0,03%"
"05.09.2022","1,1513","1,1519","1,1524","1,1443","","0,05%"
"02.09.2022","1,1507","1,1544","1,1590","1,1495","","-0,30%"
"01.09.2022","1,1542","1,1623","1,1627","1,1499","","-0,69%"
"31.08.2022","1,1622","1,1649","1,1695","1,1598","","-0,28%"
"30.08.2022","1,1655","1,1710","1,1762","1,1621","","-0,44%"
"29.08.2022","1,1707","1,1749","1,1754","1,1647","","-0,34%"
"26.08.2022","1,1747","1,1833","1,1902","1,1732","","-0,69%"
"25.08.2022","1,1829","1,1802","1,1866","1,1783","","0,27%"
"24.08.2022","1,1797","1,1841","1,1842","1,1755","","-0,29%"
"23.08.2022","1,1831","1,1777","1,1879","1,1717","","0,56%"
"22.08.2022","1,1765","1,1824","1,1839","1,1741","","-0,52%"
"19.08.2022","1,1827","1,1930","1,1942","1,1791","","-0,86%"
"18.08.2022","1,1930","1,2049","1,2081","1,1922","","-0,97%"
"17.08.2022","1,2047","1,2095","1,2144","1,2027","","-0,38%"
"16.08.2022","1,2093","1,2056","1,2119","1,2007","","0,32%"
"15.08.2022","1,2054","1,2133","1,2150","1,2049","","-0,63%"
"12.08.2022","1,2130","1,2209","1,2217","1,2099","","-0,67%"
"11.08.2022","1,2212","1,2228","1,2251","1,2181","","-0,11%"
"10.08.2022","1,2225","1,2077","1,2278","1,2064","","1,20%"
"09.08.2022","1,2080","1,2081","1,2132","1,2062","","0,03%"
"08.08.2022","1,2076","1,2073","1,2138","1,2046","","0,04%"
"05.08.2022","1,2071","1,2160","1,2170","1,2003","","-0,71%"
"04.08.2022","1,2157","1,2144","1,2201","1,2065","","0,12%"
"03.08.2022","1,2143","1,2178","1,2209","1,2099","","-0,24%"
"02.08.2022","1,2172","1,2246","1,2281","1,2157","","-0,62%"
"01.08.2022","1,2248","1,2165","1,2295","1,2155","","0,67%"
"29.07.2022","1,2166","1,2173","1,2247","1,2062","","-0,02%"
"28.07.2022","1,2169","1,2148","1,2193","1,2102","","0,15%"
"27.07.2022","1,2151","1,2030","1,2188","1,2019","","1,05%"
"26.07.2022","1,2025","1,2043","1,2092","1,1963","","-0,14%"
"25.07.2022","1,2042","1,2004","1,2087","1,1959","","0,33%"
"22.07.2022","1,2002","1,1995","1,2065","1,1916","","0,08%"
"21.07.2022","1,1993","1,1967","1,2006","1,1890","","0,20%"
"20.07.2022","1,1969","1,1990","1,2039","1,1953","","-0,22%"
"19.07.2022","1,1995","1,1954","1,2047","1,1924","","0,34%"
"18.07.2022","1,1954","1,1877","1,2035","1,1862","","0,86%"
"15.07.2022","1,1852","1,1823","1,1876","1,1804","","0,25%"
"14.07.2022","1,1822","1,1891","1,1896","1,1759","","-0,56%"
"13.07.2022","1,1889","1,1887","1,1969","1,1827","","0,03%"
"12.07.2022","1,1885","1,1886","1,1917","1,1806","","-0,03%"
"11.07.2022","1,1889","1,2029","1,2041","1,1865","","-1,15%"
"08.07.2022","1,2027","1,2025","1,2058","1,1918","","0,05%"
"07.07.2022","1,2021","1,1924","1,2031","1,1908","","0,76%"
"06.07.2022","1,1930","1,1959","1,1991","1,1875","","-0,23%"
"05.07.2022","1,1957","1,2108","1,2127","1,1898","","-1,22%"
"04.07.2022","1,2105","1,2105","1,2167","1,2083","","0,09%"
"01.07.2022","1,2094","1,2178","1,2183","1,1975","","-0,67%"
"30.06.2022","1,2175","1,2127","1,2190","1,2091","","0,41%"
"29.06.2022","1,2125","1,2183","1,2215","1,2105","","-0,47%"
"28.06.2022","1,2182","1,2265","1,2293","1,2179","","-0,67%"
"27.06.2022","1,2264","1,2264","1,2334","1,2237","","0,02%"
"24.06.2022","1,2262","1,2260","1,2321","1,2239","","0,02%"
"23.06.2022","1,2260","1,2269","1,2296","1,2169","","-0,05%"
"22.06.2022","1,2266","1,2276","1,2316","1,2161","","-0,05%"
"21.06.2022","1,2272","1,2257","1,2325","1,2241","","0,18%"
"20.06.2022","1,2250","1,2225","1,2282","1,2198","","0,21%"
"17.06.2022","1,2224","1,2354","1,2371","1,2172","","-1,03%"
"16.06.2022","1,2351","1,2185","1,2408","1,2040","","1,42%"
"15.06.2022","1,2178","1,1995","1,2206","1,1985","","1,54%"
"14.06.2022","1,1993","1,2130","1,2209","1,1934","","-1,16%"
"13.06.2022","1,2134","1,2327","1,2328","1,2107","","-1,46%"
"10.06.2022","1,2314","1,2496","1,2519","1,2300","","-1,41%"
"09.06.2022","1,2490","1,2541","1,2559","1,2486","","-0,39%"
"08.06.2022","1,2539","1,2593","1,2599","1,2512","","-0,39%"
"07.06.2022","1,2588","1,2532","1,2601","1,2430","","0,46%"
"06.06.2022","1,2530","1,2495","1,2579","1,2476","","0,36%"
"03.06.2022","1,2485","1,2580","1,2591","1,2483","","-0,72%"
"02.06.2022","1,2576","1,2485","1,2588","1,2468","","0,75%"
"01.06.2022","1,2482","1,2604","1,2618","1,2458","","-0,94%"
"31.05.2022","1,2600","1,2654","1,2657","1,2559","","-0,40%"
"30.05.2022","1,2650","1,2617","1,2661","1,2613","","0,27%"
"27.05.2022","1,2616","1,2599","1,2668","1,2585","","0,17%"
"26.05.2022","1,2594","1,2566","1,2622","1,2551","","0,24%"
"25.05.2022","1,2564","1,2532","1,2592","1,2480","","0,28%"
"24.05.2022","1,2529","1,2589","1,2599","1,2471","","-0,47%"
"23.05.2022","1,2588","1,2479","1,2603","1,2476","","0,81%"
"20.05.2022","1,2487","1,2464","1,2501","1,2437","","0,22%"
"19.05.2022","1,2460","1,2338","1,2526","1,2337","","0,99%"
"18.05.2022","1,2338","1,2494","1,2502","1,2329","","-1,22%"
"17.05.2022","1,2490","1,2317","1,2500","1,2316","","1,40%"
"16.05.2022","1,2317","1,2236","1,2331","1,2216","","0,46%"
"13.05.2022","1,2261","1,2201","1,2267","1,2155","","0,51%"
"12.05.2022","1,2199","1,2261","1,2262","1,2165","","-0,42%"
"11.05.2022","1,2250","1,2325","1,2401","1,2236","","-0,58%"
"10.05.2022","1,2322","1,2332","1,2377","1,2291","","-0,07%"
"09.05.2022","1,2331","1,2338","1,2407","1,2260","","-0,05%"
"06.05.2022","1,2337","1,2365","1,2382","1,2275","","-0,22%"
"05.05.2022","1,2364","1,2623","1,2637","1,2324","","-2,04%"
"04.05.2022","1,2621","1,2501","1,2640","1,2451","","0,98%"
"03.05.2022","1,2498","1,2494","1,2569","1,2470","","0,06%"
"02.05.2022","1,2491","1,2587","1,2599","1,2472","","-0,64%"
"29.04.2022","1,2571","1,2458","1,2616","1,2449","","0,92%"
"28.04.2022","1,2456","1,2555","1,2572","1,2410","","-0,73%"
"27.04.2022","1,2548","1,2575","1,2603","1,2502","","-0,19%"
"26.04.2022","1,2572","1,2742","1,2774","1,2570","","-1,32%"
"25.04.2022","1,2740","1,2862","1,2862","1,2696","","-0,76%"
"22.04.2022","1,2837","1,3032","1,3037","1,2822","","-1,47%"
"21.04.2022","1,3028","1,3068","1,3091","1,3022","","-0,29%"
"20.04.2022","1,3066","1,2999","1,3072","1,2992","","0,54%"
"19.04.2022","1,2996","1,3017","1,3042","1,2979","","-0,09%"
"18.04.2022","1,3008","1,3060","1,3066","1,3004","","-0,38%"
"15.04.2022","1,3058","1,3066","1,3081","1,3047","","-0,05%"
"14.04.2022","1,3065","1,3116","1,3149","1,3032","","-0,38%"
"13.04.2022","1,3115","1,2998","1,3119","1,2972","","0,91%"
"12.04.2022","1,2997","1,3032","1,3055","1,2994","","-0,25%"
"11.04.2022","1,3029","1,3043","1,3058","1,2988","","-0,02%"
"08.04.2022","1,3031","1,3077","1,3087","1,2981","","-0,32%"
"07.04.2022","1,3073","1,3069","1,3108","1,3051","","0,04%"
"06.04.2022","1,3068","1,3083","1,3110","1,3044","","0,00%"
"05.04.2022","1,3068","1,3115","1,3169","1,3066","","-0,34%"
"04.04.2022","1,3113","1,3114","1,3139","1,3092","","0,01%"
"01.04.2022","1,3112","1,3136","1,3154","1,3085","","-0,16%"
"31.03.2022","1,3133","1,3133","1,3177","1,3106","","0,02%"
"30.03.2022","1,3131","1,3093","1,3184","1,3083","","0,36%"
"29.03.2022","1,3084","1,3085","1,3161","1,3050","","0,00%"
"28.03.2022","1,3084","1,3190","1,3191","1,3066","","-0,79%"
"25.03.2022","1,3188","1,3195","1,3226","1,3159","","0,04%"
"24.03.2022","1,3183","1,3205","1,3216","1,3156","","-0,15%"
"23.03.2022","1,3203","1,3264","1,3300","1,3174","","-0,45%"
"22.03.2022","1,3263","1,3170","1,3274","1,3119","","0,74%"
"21.03.2022","1,3165","1,3182","1,3211","1,3125","","-0,11%"
"18.03.2022","1,3180","1,3149","1,3199","1,3110","","0,26%"
"17.03.2022","1,3146","1,3150","1,3214","1,3087","","0,01%"
"16.03.2022","1,3145","1,3042","1,3165","1,3031","","0,82%"
"15.03.2022","1,3038","1,3002","1,3090","1,2999","","0,29%"
"14.03.2022","1,3000","1,3038","1,3081","1,3000","","-0,28%"
"11.03.2022","1,3036","1,3087","1,3127","1,3026","","-0,36%"
"10.03.2022","1,3083","1,3176","1,3196","1,3080","","-0,73%"
"09.03.2022","1,3179","1,3104","1,3192","1,3087","","0,58%"
"08.03.2022","1,3103","1,3104","1,3146","1,3081","","0,01%"
"07.03.2022","1,3102","1,3227","1,3252","1,3101","","-0,93%"
"04.03.2022","1,3225","1,3346","1,3357","1,3201","","-0,91%"
"03.03.2022","1,3346","1,3407","1,3420","1,3316","","-0,43%"
"02.03.2022","1,3403","1,3325","1,3409","1,3270","","0,62%"
"01.03.2022","1,3321","1,3421","1,3439","1,3301","","-0,73%"
"28.02.2022","1,3419","1,3407","1,3434","1,3312","","0,10%"
"25.02.2022","1,3405","1,3378","1,3441","1,3365","","0,22%"
